barcode;name;brand;category
7790580106416;JUGO EN POLVO ARCOR ANANÁ 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580111632;JUGO EN POLVO ARCOR DURAZNO 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106041;JUGO EN POLVO ARCOR LIMONADA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580111649;JUGO EN POLVO ARCOR MANGO NARANJA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106379;JUGO EN POLVO ARCOR MANZANA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106386;JUGO EN POLVO ARCOR MULTIFRUTA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106362;JUGO EN POLVO ARCOR NARANJA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106423;JUGO EN POLVO ARCOR NARANJA BANANA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106430;JUGO EN POLVO ARCOR NARANJA DULCE 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580106393;JUGO EN POLVO ARCOR NARANJA DURAZNO 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580105419;JUGO TETRA.ARCOR.MANZ. X200CC;ARCOR;ALIMENTOS
7790580105389;JUGO TETRA.ARCOR.MULTIF. X200CC;ARCOR;ALIMENTOS
7790580005405;JUGO TETRA.ARCOR.NARAN. X200C;ARCOR;ALIMENTOS
7790580411541;JUGOS EN POLVO ARCOR FRUTILLA 12 X 18 X 20 Gr.;ARCOR;ALIMENTOS
7790580111663;JUGOS EN POLVO BC ANANÁ 16 X 18 X 9 Gr.;ARCOR;LA CAMPAGNOLA
7790580984205;JUGOS EN POLVO BC LIMONADA 16 X 18 X 9.3 Gr.;ARCOR;LA CAMPAGNOLA
7790580984304;JUGOS EN POLVO BC MANGO NARANJA 16 X 18 X 7.9 Gr.;ARCOR;LA CAMPAGNOLA
7790580984700;JUGOS EN POLVO BC MANZANA ROJA 16 X 18 X 8.5 Gr.;ARCOR;LA CAMPAGNOLA
7790580984106;JUGOS EN POLVO BC NARANJA 16 X 18 X 9.7 Gr.;ARCOR;LA CAMPAGNOLA
7790580984403;JUGOS EN POLVO BC NARANJA DULCE 16 X 18 X 9.5 Gr.;ARCOR;LA CAMPAGNOLA
7790580111700;JUGOS EN POLVO BC NARANJA DURAZNO 16 X 18 X 9 Gr.;ARCOR;LA CAMPAGNOLA
7790580117450;KOPA CHOCOLATE 12 X 190 Cc.;ARCOR;HELADOS
7790580117443;KOPA DULCE DE LECHE 12 X 190 Cc.;ARCOR;HELADOS
